_inputshopbuymultiple;KUP
achievement_20231_desc;Wygraj 100 partii z umiejętnością Natchniony Zapał.
achievement_20231_title;Mistrzostwo Natchnionego Zapału
achievement_20232_desc;Wygraj 100 partii z umiejętnością Ściana Tarcz.
achievement_20232_title;Mistrzostwo Ściany Tarcz
achievement_20233_desc;Wygraj 100 partii z umiejętnością Mobilizacja.
achievement_20233_title;Mistrzostwo Mobilizacji
achievement_20234_desc;Wygraj 100 partii z umiejętnością Dodatkowe Zasoby.
achievement_20234_title;Mistrzostwo Dodatkowych Zasobów
achievement_20240_desc;Wygraj 100 partii z każdą umiejętnością bazową Scoia'tael.
achievement_20240_title;Partyzantka
achievement_20241_desc;Wygraj 100 partii z umiejętnością Precyzyjne Uderzenie.
achievement_20241_title;Mistrzostwo Precyzyjnego Uderzenia
achievement_20242_desc;Wygraj 100 partii z umiejętnością Pobudzenie.
achievement_20242_title;Mistrzostwo Pobudzenia
achievement_20243_desc;Wygraj 100 partii z umiejętnością Dar Natury.
achievement_20243_title;Mistrzostwo Daru Natury
achievement_20244_desc;Wygraj 100 partii z umiejętnością Taktyka Partyzancka.
achievement_20244_title;Mistrzostwo Taktyki Partyzanckiej
achievement_20250_desc;Wygraj 100 partii z każdą umiejętnością bazową Skellige.
achievement_20250_title;Jarl
achievement_20251_desc;Wygraj 100 partii z umiejętnością Nawałnica Ciosów.
achievement_20251_title;Mistrzostwo Nawałnicy Ciosów
achievement_20252_desc;Wygraj 100 partii z umiejętnością Gniew Morza.
achievement_20252_title;Mistrzostwo Gniewu Morza
achievement_20253_desc;Wygraj 100 partii z umiejętnością Szturm.
achievement_20253_title;Mistrzostwo Szturmu
achievement_20254_desc;Wygraj 100 partii z umiejętnością Trans Bitewny.
achievement_20254_title;Mistrzostwo Transu Bitewnego
achievement_20260_desc;Wygraj 100 partii z każdą umiejętnością bazową Wojny Krwi.
achievement_20260_title;Władca Lyrii i Rivii
achievement_20261_desc;Wygraj 100 partii z umiejętnością Ojcobójcza Furia.
achievement_20261_title;Mistrzostwo Ojcobójczej Furii
achievement_20262_desc;Wygraj 100 partii z umiejętnością Czatownicza Zasadzka.
achievement_20262_title;Mistrzostwo Czatowniczej Zasadzki
achievement_20263_desc;Wygraj 100 partii z umiejętnością Królewska Inspiracja.
achievement_20263_title;Mistrzostwo Królewskiej Inspiracji.
achievement_20264_desc;Wygraj 100 partii z umiejętnością Zniewolenie.
achievement_20264_title;Mistrzostwo Zniewolenia
achievement_20265_desc;Wygraj 100 partii z umiejętnością Owoce Ysgith.
achievement_20265_title;Mistrzostwo Owoców Ysgith
achievement_20270_desc;Wygraj 100 partii z każdą umiejętnością Krwawej Klątwy.
achievement_20270_title;Krwawy nadzorca
achievement_20271_desc;Wygraj 100 partii z umiejętnością Zew Harmonii.
achievement_20271_title;Mistrzostwo Zewu Harmonii.
achievement_20272_desc;Wygraj 100 partii z umiejętnością Niedźwiedzi Rytuał.
achievement_20272_title;Mistrzostwo Niedźwiedziego Rytuału
achievement_20273_desc;Wygraj 100 partii z umiejętnością Woń Krwi.
achievement_20273_title;Mistrzostwo Woni Krwi.
achievement_20274_desc;Wygraj 100 partii z umiejętnością Przechera.
achievement_20274_title;Mistrzostwo Przechery
achievement_20275_desc;Wygraj 100 partii z umiejętnością Manewr Okrążający.
achievement_20275_title;Mistrzostwo Manewru Okrążającego
achievement_20280_desc;Wygraj 100 partii z każdą umiejętnością bazową Syndykatu
achievement_20280_title;Mistrz cienia
achievement_20281_desc;Wygraj 100 partii z umiejętnością Zgromadzenie.
achievement_20281_title;Mistrzostwo Zgromadzenia
achievement_20282_desc;Wygraj 100 partii z umiejętnością Zatoka Piracka.
achievement_20282_title;Mistrzostwo Zatoki Pirackiej
achievement_20283_desc;Wygraj 100 partii z umiejętnością Nagroda Główna.
achievement_20283_title;Mistrzostwo Nagrody Głównej
achievement_20284_desc;Wygraj 100 partii z umiejętnością Odliczenie.
achievement_20284_title;Mistrzostwo Odliczenia
achievement_20285_desc;Wygraj 100 partii z umiejętnością Krwawa Forsa.
achievement_20285_title;Mistrzostwo Krwawej Forsy
achievement_20286_desc;Wygraj 100 partii z umiejętnością Łapówka.
achievement_20286_title;Mistrzostwo Łapówki
achievement_20290_desc;Wygraj 100 rozgrywek z każdą umiejętniością Roku Szczurołaka
achievement_20290_title;Naczelny Szczurołak
achievement_20291_desc;Wygraj 100 rozgrywek, używając umiejętności Niepohamowany Głód
achievement_20291_title;Mistrzostwo Niepohamowanego głodu
achievement_20292_desc;Wygraj 100 rozgrywek, używając umiejętności Hochsztapler
achievement_20292_title;Mistrzostwo Hochsztaplera
achievement_20293_desc;Wygraj 100 rozgrywek, używając umiejętności Insurekcja
achievement_20293_title;Mistrzostwo Insurekcji
achievement_20294_desc;Wygraj 100 rozgrywek, używając umiejętności Mahakamska Kuźnia
achievement_20294_title;Mistrzostwo Mahakamskiej Kuźni
achievement_20295_desc;Wygraj 100 rozgrywek, używając umiejętności Blask Chwały
achievement_20295_title;Mistrzostwo Blasku Chwały
achievement_20296_desc;Wygraj 100 rozgrywek, używając umiejętności Tajny skład
achievement_20296_title;Mistrzostwo Tajnego Składu
achievement_20501_desc;Wygraj 25 partii z umiejętnością Potworów.
achievement_20501_title;Wylot z gniazda
achievement_20502_desc;Wygraj 100 partii z umiejętnością Potworów.
achievement_20502_title;Potwory i spółka
achievement_20503_desc;Wygraj 250 partii z umiejętnością Potworów.
achievement_20503_title;Ciemno już
achievement_20504_desc;Wygraj 500 partii z umiejętnością Potworów.
achievement_20504_title;Zgasły wszystkie światła
achievement_20505_desc;Wygraj 1000 partii z umiejętnością Potworów.
achievement_20505_title;Ciemna noc zapada
achievement_20511_desc;Wygraj 25 partii z umiejętnością Nilfgaardu.
achievement_20511_title;Wojna na horyzoncie
achievement_20512_desc;Wygraj 100 partii z umiejętnością Nilfgaardu.
achievement_20512_title;Ku chwale imperium!
achievement_20513_desc;Wygraj 250 partii z umiejętnością Nilfgaardu.
achievement_20513_title;Wielkie słońce też wschodzi
achievement_20514_desc;Wygraj 500 partii z umiejętnością Nilfgaardu.
achievement_20514_title;Zapach zwycięstwa o poranku
achievement_20515_desc;Wygraj 1000 partii z umiejętnością Nilfgaardu.
achievement_20515_title;Poddaj się lub giń
achievement_20521_desc;Wygraj 25 partii z umiejętnością Królestw Północy.
achievement_20521_title;Obieracz ziemniaków
achievement_20522_desc;Wygraj 100 partii z umiejętnością Królestw Północy.
achievement_20522_title;Wznieście sztandary
achievement_20523_desc;Wygraj 250 partii z umiejętnością Królestw Północy.
achievement_20523_title;Śmierć najeźdźcom
achievement_20524_desc;Wygraj 500 partii z umiejętnością Królestw Północy.
achievement_20524_title;W jedności siła
achievement_20525_desc;Wygraj 1000 partii z umiejętnością Królestw Północy.
achievement_20525_title;Chwała w zemście
achievement_20531_desc;Wygraj 25 partii z umiejętnością Scoia'tael
achievement_20531_title;Za Brokilon!
achievement_20532_desc;Wygraj 100 partii z umiejętnością Scoia'tael.
achievement_20532_title;Wojownik cienia
achievement_20533_desc;Wygraj 250 partii z umiejętnością Scoia'tael.
achievement_20533_title;Pewny strzał
achievement_20534_desc;Wygraj 500 partii z umiejętnością Scoia'tael.
achievement_20534_title;Skrytobójcy
achievement_20535_desc;Wygraj 1000 partii z umiejętnością Scoia'tael.
achievement_20535_title;Czyja ziemia? Nasza!
achievement_20541_desc;Wygraj 25 partii z umiejętnością Skellige.
achievement_20541_title;Ziemia na horyzoncie!
achievement_20542_desc;Wygraj 100 partii z umiejętnością Skellige.
achievement_20542_title;Spraw sobie topór
achievement_20543_desc;Wygraj 250 partii z umiejętnością Skellige.
achievement_20543_title;Władca much
achievement_20544_desc;Wygraj 500 partii z umiejętnością Skellige.
achievement_20544_title;To ma być sztorm?
achievement_20545_desc;Wygraj 1000 partii z umiejętnością Skellige.
achievement_20545_title;Za chwałę Skellige
achievement_20551_desc;Wygraj 25 partii z umiejętnościami Wojny Krwi.
achievement_20551_title;Żebrak
achievement_20552_desc;Wygraj 100 partii z umiejętnościami Wojny Krwi.
achievement_20552_title;Mieszczanin
achievement_20553_desc;Wygraj 250 partii z umiejętnościami Wojny Krwi.
achievement_20553_title;Szlachcic
achievement_20554_desc;Wygraj 500 partii z umiejętnościami Wojny Krwi.
achievement_20554_title;Baron
achievement_20555_desc;Wygraj 1000 partii z umiejętnościami Wojny Krwi.
achievement_20555_title;Pan na włościach
achievement_20561_desc;Wygraj 25 partii z umiejętnościami Krwawej Klątwy.
achievement_20561_title;Krwawy nowicjusz
achievement_20562_desc;Wygraj 100 partii z umiejętnościami Krwawej Klątwy.
achievement_20562_title;Krwawy akolita
achievement_20563_desc;Wygraj 250 partii z umiejętnościami Krwawej Klątwy.
achievement_20563_title;Krwawy kultysta
achievement_20564_desc;Wygraj 500 partii z umiejętnościami Krwawej Klątwy.
achievement_20564_title;Krwawy fanatyk
achievement_20565_desc;Wygraj 1000 partii z umiejętnościami Krwawej Klątwy.
achievement_20565_title;Krwawy starszy
achievement_20571_desc;Wygraj 25 partii z umiejętnościami Syndykatu.
achievement_20571_title;Kandydat
achievement_20572_desc;Wygraj 100 partii z umiejętnościami Syndykatu.
achievement_20572_title;Żołdak
achievement_20573_desc;Wygraj 250 partii z umiejętnościami Syndykatu.
achievement_20573_title;Kurier
achievement_20574_desc;Wygraj 500 partii z umiejętnościami Syndykatu.
achievement_20574_title;Capo
achievement_20575_desc;Wygraj 1000 partii z umiejętnościami Syndykatu.
achievement_20575_title;Mafijny boss
achievement_20581_desc;Wygraj 25 rozgrywek, używając umiejętności z Roku Szczurołaka
achievement_20581_title;Nów
achievement_20582_desc;Wygraj 100 rozgrywek, używając umiejętności z Roku Szczurołaka
achievement_20582_title;Sierp
achievement_20583_desc;Wygraj 250 rozgrywek, używając umiejętności z Roku Szczurołaka
achievement_20583_title;Pierwsza kwadra
achievement_20584_desc;Wygraj 500 rozgrywek, używając umiejętności z Roku Szczurołaka
achievement_20584_title;Księżyc Garbaty
achievement_20585_desc;Wygraj 1000 rozgrywek, używając umiejętności z Roku Szczurołaka
achievement_20585_title;Pełnia
achievement_30001_desc;Zbierz 200 kart do swojej kolekcji kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30001_title;Początki kolekcji
achievement_30002_desc;Zbierz 300 kart do swojej kolekcji kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30002_title;Do wyboru, do koloru
achievement_30003_desc;Zbierz 400 kart do swojej kolekcji kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30003_title;Grubo w talii
achievement_30004_desc;Zbierz 500 kart do swojej kolekcji kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30004_title;Talia nad taliami
achievement_30005_desc;Zbierz wszystkie karty w kolekcji kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30005_title;Liczy się tylko komplet
achievement_30011_desc;Zbierz całą kolekcję kart neutralnych z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30011_title;Kolekcjoner kart neutralnych z zestawu podstawowego
achievement_30012_desc;Zbierz całą kolekcję kart Potworów z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30012_title;Kolekcjoner kart Potworów z zestawu podstawowego
achievement_30013_desc;Zbierz całą kolekcję kart Nilfgaardu z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30013_title;Kolekcjoner kart Nilfgaardu z zestawu podstawowego
achievement_30014_desc;Zbierz całą kolekcję kart Królestw Północy z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30014_title;Kolekcjoner kart Królestw Północy z zestawu podstawowego
achievement_30015_desc;Zbierz całą kolekcję kart Scoia'tael z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30015_title;Kolekcjoner kart Scoia'tael z zestawu podstawowego
achievement_30016_desc;Zbierz całą kolekcję kart Skellige z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30016_title;Kolekcjoner kart Skellige z zestawu podstawowego
achievement_30017_desc;Zbierz całą kolekcję złotych kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30017_title;Kolekcjoner złotych kart z zestawu podstawowego
achievement_30019_desc;Zbierz całą kolekcję brązowych kart z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30019_title;Kolekcjoner brązowych kart z zestawu podstawowego
achievement_30030_desc;Odblokuj swoją pierwszą ozdobę dowódcy w Księdze Nagród.
achievement_30030_title;Stylowe przywództwo
achievement_30031_desc;Zbierz następujące ozdoby z głównego drzewka Potworów:
achievement_30031_title;Wstrząsy
achievement_30032_desc;Zbierz następujące ozdoby z głównego drzewka Nilfgaardu:
achievement_30032_title;Narodziny imperium
achievement_30033_desc;Zbierz następujące ozdoby z głównego drzewka Królestw Północy:
achievement_30033_title;Boskie prawo królów
achievement_30034_desc;Zbierz następujące ozdoby z głównego drzewka Scoia'tael:
achievement_30034_title;Jesteśmy ruchem oporu
achievement_30035_desc;Zbierz następujące ozdoby z głównego drzewka Skellige:
achievement_30035_title;Klany, łączcie się!
achievement_30036_desc;Zbierz następujące ozdoby z głównego drzewka Syndykatu:
achievement_30036_title;Oferta nie do odrzucenia
achievement_30051_desc;Zbierz wszystkie karciane wersje słynnego wiedźmina, Geralta:
achievement_30051_title;Najemny zabójca
achievement_30052_desc;Zbierz wszystkie karty głównych bohaterów gry Wiedźmin 3: Dziki Gon:
achievement_30052_title;Ci co zawsze
achievement_30053_desc;Zbierz wszystkie Panie Lasu z Krzywuchowych Moczarów:
achievement_30053_title;Groch z kapustą
achievement_30054_desc;Zbierz wszystkie karty szefostwa Dzikiego Gonu:
achievement_30054_title;Dziki Gon
achievement_30055_desc;Zbierz wszystkie najdokładniej dostosowane karty w grze:
achievement_30055_title;Słuch absolutny
achievement_30056_desc;Zbierz wszystkie poniższe magiotwórcze karty w grze:
achievement_30056_title;Godzina magii
achievement_30100_desc;Zdobądź 1 kartę premium z zestawu podstawowego.
achievement_30100_title;Klejnoty koronne
achievement_30102_desc;Posiadaj jednocześnie 50 kart premium z zestawu podstawowego.
achievement_30102_title;Jak na odpuście
achievement_30103_desc;Posiadaj jednocześnie 100 kart premium z zestawu podstawowego.
achievement_30103_title;Sztuczka z lustrami
achievement_30104_desc;Posiadaj jednocześnie 200 kart premium z zestawu podstawowego.
achievement_30104_title;Świecą jak miliony monet
achievement_30105_desc;Posiadaj jednocześnie 300 kart premium z zestawu podstawowego.
achievement_30105_title;Kolekcjoner dzieł sztuki
achievement_30106_desc;Posiadaj jednocześnie 450 kart premium z zestawu podstawowego.
achievement_30106_title;Nienasycony
achievement_30108_desc;Posiadaj jednocześnie WSZYSTKIE karty premium z zestawu podstawowego.
achievement_30108_title;El Dorado
achievement_30111_desc;Zbierz całą kolekcję kart premium neutralnych z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30111_title;Kolekcjoner kart premium neutralnych z zestawu podstawowego
achievement_30112_desc;Zbierz całą kolekcję kart premium Potworów z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30112_title;Kolekcjoner kart premium Potworów z zestawu podstawowego
achievement_30113_desc;Zbierz całą kolekcję kart premium Nilfgaardu z zestawu podstawowego do gry (nie liczą się duplikaty, których nie można umieścić w talii).
achievement_30113_title;Kolekcjoner kart premium Nilfgaardu z zestawu podstawowego
