_inputshopbuymultiple;구매
achievement_20291_title;기근 마스터
achievement_20292_desc;협잡꾼 능력으로 경기에서 100회 승리하십시오
achievement_20292_title;협잡꾼 마스터
achievement_20293_desc;봉기 능력으로 경기에서 100회 승리하십시오
achievement_20293_title;봉기 마스터
achievement_20294_desc;마하캄 대장간 능력으로 경기에서 100회 승리하십시오
achievement_20294_title;마하캄 대장간 마스터
achievement_20295_desc;영광의 광휘 능력으로 경기에서 100회 승리하십시오
achievement_20295_title;영광의 광휘 마스터
achievement_20296_desc;은닉처 능력으로 경기에서 100회 승리하십시오
achievement_20296_title;은닉처 마스터
achievement_20501_desc;괴물의 능력으로 경기에서 25회 승리하십시오
achievement_20501_title;둥지를 떠나
achievement_20502_desc;괴물의 능력으로 경기에서 100회 승리하십시오
achievement_20502_title;괴물 주식회사
achievement_20503_desc;괴물의 능력으로 경기에서 250회 승리하십시오
achievement_20503_title;피바다
achievement_20504_desc;괴물의 능력으로 경기에서 500회 승리하십시오
achievement_20504_title;탈출구는 없다
achievement_20505_desc;괴물의 능력으로 경기에서 1000회 승리하십시오
achievement_20505_title;어둠의 저주
achievement_20511_desc;닐프가드의 능력으로 경기에서 25회 승리하십시오
achievement_20511_title;전쟁 임박
achievement_20512_desc;닐프가드의 능력으로 경기에서 100회 승리하십시오
achievement_20512_title;제국의 영광을 위하여!
achievement_20513_desc;닐프가드의 능력으로 경기에서 250회 승리하십시오
achievement_20513_title;위대한 태양은 또 떠오른다
achievement_20514_desc;닐프가드의 능력으로 경기에서 500회 승리하십시오
achievement_20514_title;승리의 기운
achievement_20515_desc;닐프가드의 능력으로 경기에서 1000회 승리하십시오
achievement_20515_title;항복하거나 죽거나
achievement_20521_desc;북부 왕국의 능력으로 경기에서 25회 승리하십시오.
achievement_20521_title;감자 깎는 병사
achievement_20522_desc;북부 왕국의 능력으로 경기에서 100회 승리하십시오.
achievement_20522_title;기치를 휘날리며
achievement_20523_desc;북부 왕국의 능력으로 경기에서 250회 승리하십시오.
achievement_20523_title;침략자에게 죽음을!
achievement_20524_desc;북부 왕국의 능력으로 경기에서 500회 승리하십시오.
achievement_20524_title;뭉치면 살고 흩어지면 죽는다
achievement_20525_desc;북부 왕국의 능력으로 경기에서 1000회 승리하십시오.
achievement_20525_title;복수로 영광을!
achievement_20531_desc;스코이아텔의 능력으로 경기에서 25회 승리하십시오
achievement_20531_title;브로킬론이여!
achievement_20532_desc;스코이아텔의 능력으로 경기에서 100회 승리하십시오
achievement_20532_title;그림자 전사
achievement_20533_desc;스코이아텔의 능력으로 경기에서 250회 승리하십시오
achievement_20533_title;정조준
achievement_20534_desc;스코이아텔의 능력으로 경기에서 500회 승리하십시오
achievement_20534_title;침묵의 암살자
achievement_20535_desc;스코이아텔의 능력으로 경기에서 1000회 승리하십시오
achievement_20535_title;누구의 땅이냐? 우리 땅이다!
achievement_20541_desc;스켈리게의 능력으로 경기에서 25회 승리하십시오
achievement_20541_title;육지다!
achievement_20542_desc;스켈리게의 능력으로 경기에서 100회 승리하십시오
achievement_20542_title;도끼를 들어라
achievement_20543_desc;스켈리게의 능력으로 경기에서 250회 승리하십시오
achievement_20543_title;해상의 군주
achievement_20544_desc;스켈리게의 능력으로 경기에서 500회 승리하십시오
achievement_20544_title;그까짓 게 폭풍우라고?
achievement_20545_desc;스켈리게의 능력으로 경기에서 1000회 승리하십시오
achievement_20545_title;스켈리게의 영광을 위하여!
achievement_20551_desc;쓰론브레이커의 능력으로 경기에서 25회 승리하십시오
achievement_20551_title;천민
achievement_20552_desc;쓰론브레이커의 능력으로 경기에서 100회 승리하십시오
achievement_20552_title;시민
achievement_20553_desc;쓰론브레이커의 능력으로 경기에서 250회 승리하십시오
achievement_20553_title;귀족
achievement_20554_desc;쓰론브레이커의 능력으로 경기에서 500회 승리하십시오
achievement_20554_title;남작
achievement_20555_desc;쓰론브레이커의 능력으로 경기에서 1000회 승리하십시오
achievement_20555_title;영주
achievement_20561_desc;핏빛 저주의 능력으로 경기에서 25회 승리하십시오
achievement_20561_title;핏빛 입회자
achievement_20562_desc;핏빛 저주의 능력으로 경기에서 100회 승리하십시오
achievement_20562_title;핏빛 시종
achievement_20563_desc;핏빛 저주의 능력으로 경기에서 250회 승리하십시오
achievement_20563_title;핏빛 사교도
achievement_20564_desc;핏빛 저주의 능력으로 경기에서 500회 승리하십시오
achievement_20564_title;핏빛 광신도
achievement_20565_desc;핏빛 저주의 능력으로 경기에서 1000회 승리하십시오
achievement_20565_title;핏빛 장로
achievement_20571_desc;신디케이트의 능력으로 경기에서 25회 승리하십시오
achievement_20571_title;열혈 팬
achievement_20572_desc;신디케이트의 능력으로 경기에서 100회 승리하십시오
achievement_20572_title;보병
achievement_20573_desc;신디케이트의 능력으로 경기에서 250회 승리하십시오
achievement_20573_title;밀수업자
achievement_20574_desc;신디케이트의 능력으로 경기에서 500회 승리하십시오
achievement_20574_title;두목
achievement_20575_desc;신디케이트의 능력으로 경기에서 1000회 승리하십시오
achievement_20575_title;범죄 두목
achievement_20581_desc;쥐인간의 해의 능력으로 경기에서 25회 승리하십시오
achievement_20581_title;삭
achievement_20582_desc;쥐인간의 해의 능력으로 경기에서 100회 승리하십시오
achievement_20582_title;초승달
achievement_20583_desc;쥐인간의 해의 능력으로 경기에서 250회 승리하십시오
achievement_20583_title;상현달
achievement_20584_desc;쥐인간의 해의 능력으로 경기에서 500회 승리하십시오
achievement_20584_title;하현달
achievement_20585_desc;쥐인간의 해의 능력으로 경기에서 1000회 승리하십시오
achievement_20585_title;보름달
achievement_30001_desc;게임플레이 컬렉션 기본 세트에 카드 200장을 추가하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30001_title;스크랩 북 만들기
achievement_30002_desc;게임플레이 컬렉션 기본 세트에 카드 300장을 추가하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30002_title;뷔페
achievement_30003_desc;게임플레이 컬렉션 기본 세트에 카드를400장을 추가하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30003_title;꽃단장한 덱
achievement_30004_desc;게임플레이 컬렉션 기본 세트에 카드 500장을 추가하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30004_title;덱 데코레이션
achievement_30005_desc;게임플레이 컬렉션 기본 세트에 모든 카드를 추가하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30005_title;완벽주의자
achievement_30011_desc;게임플레이 컬렉션 중립 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30011_title;중립 기본 세트 수집가
achievement_30012_desc;게임플레이 컬렉션 괴물 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30012_title;괴물 기본 세트 수집가
achievement_30013_desc;게임 플레이 컬렉션 닐프가드 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30013_title;닐프가드 기본 세트 수집가
achievement_30014_desc;게임 플레이 컬렉션 북부 왕국 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30014_title;북부 왕국 기본 세트 수집가
achievement_30015_desc;게임 플레이 컬렉션 스코이아텔 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30015_title;스코이아텔 기본 세트 수집가
achievement_30016_desc;게임 플레이 컬렉션 스켈리게 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30016_title;스켈리게 기본 세트 수집가
achievement_30017_desc;게임 플레이 컬렉션 골드 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30017_title;골드 기본 세트 수집가
achievement_30019_desc;게임 플레이 컬렉션 브론즈 기본 세트의 모든 카드를 수집하십시오(덱에 추가할 수 없는 중복 카드는 카운트되지 않음).
achievement_30019_title;브론즈 기본 세트 수집가
achievement_30030_desc;보상 북에서 여러분의 첫 번째 리더 장식 아이템을 잠금 해제하십시오.
achievement_30030_title;스타일 리더
achievement_30031_desc;괴물 메인 트리에서 다음의 장식을 모으십시오:
achievement_30031_title;지진
achievement_30032_desc;닐프가드 메인 트리에서 다음의 장식을 모으십시오:
achievement_30032_title;제국의 탄생
achievement_30033_desc;북부 왕국 메인 트리에서 다음의 장식을 모으십시오:
achievement_30033_title;신성한 왕권
achievement_30034_desc;스코이아텔 메인 트리에서 다음의 장식을 모으십시오:
achievement_30034_title;우리는 저항군이다
achievement_30035_desc;스켈리게 메인 트리에서 다음의 장식을 모으십시오:
achievement_30035_title;부족들이여 하나로!
achievement_30036_desc;신디케이트 메인 트리에서 다음의 장식을 모으십시오:
achievement_30036_title;거절할 수 없는 제안
achievement_30051_desc;위쳐 게롤트의 모든 카드 버전을 수집하십시오.
achievement_30051_title;청부업자
achievement_30052_desc;더 위쳐 3: 와일드 헌트에 등장하는 주요 영웅들의 모든 카드를 수집하십시오.
achievement_30052_title;유주얼 서스펙트
achievement_30053_desc;곱사등이 늪지에 사는 모든 크론을 수집하십시오.
achievement_30053_title;이상한 스튜
achievement_30054_desc;와일드 헌트의 모든 최고위층 카드를 수집하십시오.
achievement_30054_title;와일드 헌트
achievement_30055_desc;가장 소리에 민감한 카드들을 수집하십시오.
achievement_30055_title;절대 음감
achievement_30056_desc;마법 실력을 올려주는 다음과 같은 카드들을 수집하십시오.
achievement_30056_title;마법 시간
achievement_30100_desc;기본 세트의 프리미엄 카드 1장을 획득하십시오.
achievement_30100_title;왕실 보석
