_inputshopbuymultiple;购买
achievement_20240_desc;使用每一个松鼠党阵营基础能力赢得 100 场对局。
achievement_20240_title;神出鬼没
achievement_20241_desc;使用精准之击能力赢得 100 场对局。
achievement_20241_title;精准之击精通
achievement_20242_desc;使用活力回春能力赢得 100 场对局。
achievement_20242_title;活力回春精通
achievement_20243_desc;使用自然馈赠能力赢得 100 场对局。
achievement_20243_title;自然馈赠精通
achievement_20244_desc;使用游击战术能力赢得 100 场对局。
achievement_20244_title;游击战术精通
achievement_20250_desc;使用每一个史凯利格阵营的基础能力赢得 100 场对局。
achievement_20250_title;海洋英杰
achievement_20251_desc;使用鲁莽乱舞能力赢得 100 场对局。
achievement_20251_title;鲁莽乱舞精通
achievement_20252_desc;使用怒海汹涛能力赢得 100 场对局。
achievement_20252_title;怒海汹涛精通
achievement_20253_desc;使用野猪冲锋能力赢得 100 场对局。
achievement_20253_title;野猪冲锋精通
achievement_20254_desc;使用战斗狂热能力赢得 100 场对局。
achievement_20254_title;战斗狂热精通
achievement_20260_desc;使用每一个《王权的陨落》的能力赢得 100 场对局。
achievement_20260_title;莱里亚与利维亚的救世主
achievement_20261_desc;使用鸣镝动怒能力赢得 100 场对局。
achievement_20261_title;鸣镝动怒精通
achievement_20262_desc;使用十面埋伏能力赢得 100 场对局。
achievement_20262_title;十面埋伏精通
achievement_20263_desc;使用皇家激励能力赢得 100 场对局。
achievement_20263_title;皇家激励精通
achievement_20264_desc;使用奴役蛮夷能力赢得 100 场对局。
achievement_20264_title;奴役蛮夷精通
achievement_20265_desc;使用沼泽果实能力赢得 100 场对局。
achievement_20265_title;沼泽果实精通
achievement_20270_desc;使用每一个《猩红诅咒》的能力赢得 100 场对局。
achievement_20270_title;猩红领主
achievement_20271_desc;使用和谐之唤能力赢得 100 场对局。
achievement_20271_title;和谐之唤精通
achievement_20272_desc;使用巨熊仪式能力赢得 100 场对局。
achievement_20272_title;巨熊仪式精通
achievement_20273_desc;使用腥膻之味能力赢得 100 场对局。
achievement_20273_title;腥膻之味精通
achievement_20274_desc;使用怀柔兼济能力赢得 100 场对局。
achievement_20274_title;怀柔兼济精通
achievement_20275_desc;使用四面夹击能力赢得 100 场对局。
achievement_20275_title;四面夹击精通
achievement_20280_desc;使用每一种辛迪加能力赢得 100 场对局
achievement_20280_title;阴影大师
achievement_20281_desc;使用集会布道能力赢得 100 场对局。
achievement_20281_title;集会布道精通
achievement_20282_desc;使用水手海湾能力赢得 100 场对局。
achievement_20282_title;水手海湾精通
achievement_20283_desc;使用头号大奖能力赢得 100 场对局。
achievement_20283_title;头号大奖精通
achievement_20284_desc;使用黑市买卖能力赢得 100 场对局。
achievement_20284_title;黑市买卖精通
achievement_20285_desc;使用街头赏金能力赢得 100 场对局。
achievement_20285_title;街头赏金精通
achievement_20286_desc;使用盆满钵满能力赢得 100 场对局。
achievement_20286_title;盆满钵满精通
achievement_20290_desc;使用每一个鼠年能力赢得 100 场对局
achievement_20290_title;遗传鼠人
achievement_20291_desc;使用“无尽渴望”能力赢得 100 场对局
achievement_20291_title;无尽渴望精通
achievement_20292_desc;使用“偷梁换柱”能力赢得 100 场对局
achievement_20292_title;偷梁换柱精通
achievement_20293_desc;使用“揭竿而起”能力赢得 100 场对局
achievement_20293_title;揭竿而起精通
achievement_20294_desc;使用“百炼精刚”能力赢得 100 场对局
achievement_20294_title;百炼精刚精通
achievement_20295_desc;使用“荣耀圣焰”能力赢得 100 场对局
achievement_20295_title;荣耀圣焰精通
achievement_20296_desc;使用“军备宝箱”能力赢得 100 场对局
achievement_20296_title;军备宝箱精通
achievement_20501_desc;使用任一怪兽阵营能力赢得 25 场对局
achievement_20501_title;恶兽出巢
achievement_20502_desc;使用任一怪兽阵营能力赢得 100 场对局
achievement_20502_title;怪兽公司
achievement_20503_desc;使用任一怪兽阵营能力赢得 250 场对局
achievement_20503_title;血雨腥风
achievement_20504_desc;使用任一怪兽阵营能力赢得 500 场对局
achievement_20504_title;无处可逃
achievement_20505_desc;使用任一怪兽阵营能力赢得 1000 场对局
achievement_20505_title;黑暗降临
achievement_20511_desc;使用任一尼弗迦德阵营能力赢得 25 场对局
achievement_20511_title;大战在即
achievement_20512_desc;使用任一尼弗迦德阵营能力赢得 100 场对局
achievement_20512_title;为了帝国的荣耀！
achievement_20513_desc;使用任一尼弗迦德阵营能力赢得 250 场对局
achievement_20513_title;日轮照常升起
achievement_20514_desc;使用任一尼弗迦德阵营能力赢得 500 场对局
achievement_20514_title;胜利的味道
achievement_20515_desc;使用任一尼弗迦德阵营能力赢得 1000 场对局
achievement_20515_title;顺我者昌，逆我者亡
achievement_20521_desc;使用任一北方领域阵营能力赢得 25 场对局
achievement_20521_title;土豆小兵
achievement_20522_desc;使用任一北方领域阵营能力赢得 100 场对局
achievement_20522_title;旌旗猎猎
achievement_20523_desc;使用任一北方领域阵营能力赢得 250 场对局
achievement_20523_title;虽远必诛
achievement_20524_desc;使用任一北方领域阵营能力赢得 500 场对局
achievement_20524_title;精诚团结
achievement_20525_desc;使用任一北方领域阵营能力赢得 1000 场对局
achievement_20525_title;荣耀的复仇
achievement_20531_desc;使用任一松鼠党阵营能力赢得 25 场对局
achievement_20531_title;为了布洛克莱昂！
achievement_20532_desc;使用任一松鼠党阵营能力赢得 100 场对局
achievement_20532_title;戮影潜踪
achievement_20533_desc;使用任一松鼠党阵营能力赢得 250 场对局
achievement_20533_title;箭无虚发
achievement_20534_desc;使用任一松鼠党阵营能力赢得 500 场对局
achievement_20534_title;暗刃难防
achievement_20535_desc;使用任一松鼠党阵营能力赢得 1000 场对局
achievement_20535_title;誓夺失地！
achievement_20541_desc;使用任一史凯利格阵营能力赢得 25 场对局
achievement_20541_title;登陆！
achievement_20542_desc;使用任一史凯利格阵营能力赢得 100 场对局
achievement_20542_title;来把斧头吧！
achievement_20543_desc;使用任一史凯利格阵营能力赢得 250 场对局
achievement_20543_title;苍蝇王
achievement_20544_desc;使用任一史凯利格阵营能力赢得 500 场对局
achievement_20544_title;如鱼得水
achievement_20545_desc;使用任一史凯利格阵营能力赢得 1000 场对局
achievement_20545_title;史凯利格万岁！
achievement_20551_desc;使用《王权的陨落》中的能力赢得 25 场对局
achievement_20551_title;庶民
achievement_20552_desc;使用《王权的陨落》中的能力赢得 100 场对局
achievement_20552_title;市民
achievement_20553_desc;使用《王权的陨落》中的能力赢得 250 场对局
achievement_20553_title;贵族
achievement_20554_desc;使用《王权的陨落》中的能力赢得 500 场对局
achievement_20554_title;男爵
achievement_20555_desc;使用《王权的陨落》中的能力赢得 1000 场对局
achievement_20555_title;庄园主
achievement_20561_desc;使用《猩红诅咒》中的能力赢得 25 场对局
achievement_20561_title;猩红新兵
achievement_20562_desc;使用《猩红诅咒》中的能力赢得 100 场对局
achievement_20562_title;猩红侍僧
achievement_20563_desc;使用《猩红诅咒》中的能力赢得 250 场对局
achievement_20563_title;猩红教众
achievement_20564_desc;使用《猩红诅咒》中的能力赢得 500 场对局
achievement_20564_title;猩红狂热者
achievement_20565_desc;使用《猩红诅咒》中的能力赢得 1000 场对局
achievement_20565_title;猩红长老
achievement_20571_desc;使用任一辛迪加阵营能力赢得 25 场对局
achievement_20571_title;喽啰
achievement_20572_desc;使用任一辛迪加阵营能力赢得 100 场对局
achievement_20572_title;走卒
achievement_20573_desc;使用任一辛迪加阵营能力赢得 250 场对局
achievement_20573_title;流寇
achievement_20574_desc;使用任一辛迪加阵营能力赢得 500 场对局
achievement_20574_title;头目
achievement_20575_desc;使用任一辛迪加阵营能力赢得 1000 场对局
achievement_20575_title;龙头
achievement_20581_desc;使用鼠年能力赢得 25 场对局
achievement_20581_title;新月
achievement_20582_desc;使用鼠年能力赢得 100 场对局
achievement_20582_title;残月
achievement_20583_desc;使用鼠年能力赢得 250 场对局
achievement_20583_title;上弦月
achievement_20584_desc;使用鼠年能力赢得 500 场对局
achievement_20584_title;凸月
achievement_20585_desc;使用鼠年能力赢得 1000 场对局
achievement_20585_title;满月
achievement_30001_desc;将 200 张 卡牌纳入核心牌组收藏（不统计无法收入牌组的重复牌）。
achievement_30001_title;集邮游戏
achievement_30002_desc;将 300 张 卡牌纳入核心牌组收藏（不统计无法收入牌组的重复牌）。
achievement_30002_title;大杂烩
achievement_30003_desc;将 400 张 卡牌纳入核心牌组收藏（不统计无法收入牌组的重复牌）。
achievement_30003_title;聚沙成塔
achievement_30004_desc;将 500 张 卡牌纳入核心牌组收藏（不统计无法收入牌组的重复牌）。
achievement_30004_title;卡牌满屋
achievement_30005_desc;将所有卡牌纳入核心牌组收藏（不统计无法收入牌组的重复牌）。
achievement_30005_title;核心牌组大满贯
achievement_30011_desc;收集所有中立核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30011_title;中立核心牌组收藏家
achievement_30012_desc;收集所有怪兽核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30012_title;怪兽核心牌组收藏家
achievement_30013_desc;收集所有尼弗迦德核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30013_title;尼弗迦德核心牌组收藏家
achievement_30014_desc;收集所有北方领域核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30014_title;北方领域核心牌组收藏家
achievement_30015_desc;收集所有松鼠党核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30015_title;松鼠党核心牌组收藏家
achievement_30016_desc;收集所有史凯利格核心牌组卡牌（不统计无法收入牌组的重复牌）。
achievement_30016_title;史凯利格核心牌组收藏家
achievement_30017_desc;收集所有核心牌组金色卡牌（不统计无法收入牌组的重复牌）。
achievement_30017_title;核心牌组金色卡牌收藏家
achievement_30019_desc;收集所有核心牌组铜色卡牌（不统计无法收入牌组的重复牌）。
achievement_30019_title;核心牌组铜色卡牌收藏家
achievement_30030_desc;在奖励册中解锁您的首个领袖的装饰物品
achievement_30030_title;领袖风采
achievement_30031_desc;在怪兽阵营的主奖励树中收集以下装饰品：
achievement_30031_title;潜藏黑暗
achievement_30032_desc;在尼弗迦德阵营的主奖励树中收集以下装饰品：
achievement_30032_title;帝国的诞生
achievement_30033_desc;在北方领域阵营的主奖励树中收集以下装饰品：
achievement_30033_title;王权天授
achievement_30034_desc;在松鼠党阵营的主奖励树中收集以下装饰品：
achievement_30034_title;奋起抗争
achievement_30035_desc;在史凯利格阵营的主奖励树中收集以下装饰品：
achievement_30035_title;家族一统！
achievement_30036_desc;在辛迪加阵营的主奖励树中收集以下装饰品：
achievement_30036_title;无法抗拒的提议
achievement_30051_desc;收藏著名猎魔人“杰洛特”的所有版本：
achievement_30051_title;白狼传奇
achievement_30052_desc;收藏所有《巫师 3：狂猎》的主要人物卡牌：
