_inputshopbuymultiple;КУПИТЬ
shop_data_ep5_premium_keg_title;Премиальная бочка «Господина Зеркало»
shop_data_ep5_premium_preorder_desc;<sprite="PopupIcons" name="PremiumKeg"> 25 премиальных бочек «Господина Зеркало»\n\n<sprite="PopupIcons" name="Skin">Облик «Гюнтер о'Дим» (доступен сразу после покупки!)\n\nНе упустите возможность заполучить 25 бочек с премиальными картами из нового дополнения и эксклюзивный облик самого Господина Зеркало, который можно приобрести только в наборе предзаказа!\n\nПримечание: этот набор также входит в комплект двойного набора предзаказа «Господина Зеркало». Открыть бочки можно будет уже 30 июня 2020 года, сразу после выхода дополнения «Господин Зеркало».
shop_data_ep5_premium_preorder_title;Набор предзаказа «Гюнтер о'Дим»
shop_data_ep5_preorder_desc;<sprite="PopupIcons" name="Keg"> 10 бочек «Господина Зеркало»\n\n<sprite="PopupIcons" name="CardBack">Динамическая рубашка «Господин Зеркало» (доступна сразу после покупки!)\n\nНе упустите возможность заполучить 10 бочек с картами из нового дополнения и уникальную динамическую анимированную обложку, которая меняется в начале каждого раунда!\n\nПримечание: этот набор также входит в комплект двойного набора предзаказа для «Господина Зеркало». Открыть бочки можно будет уже 30 июня 2020 года, сразу после выхода дополнения «Господин Зеркало».
shop_data_ep5_preorder_title;Набор предзаказа «Проклятое зеркало»
shop_data_ep5_temptation_pack_desc;<sprite="PopupIcons" name="PremiumKeg"> 40 премиальных бочек «Господина Зеркало»\n\n<sprite="PopupIcons" name="PremiumCard"> Премиальная карта из дополнения «Господин Зеркало»\n\nПобалуйте себя вкусом вечности. Но не перестарайтесь!
shop_data_ep5_temptation_pack_title;Набор искушения
shop_data_ep5_twisted_board_desc;<sprite="PopupIcons" name="Board"> Поле искаженного мира\n\nОсмелитесь ли вы войти в мрачный мир Господина Зеркало и дать врагам отпор под его пристальным взором?
shop_data_ep5_twisted_board_title;Поле искаженного мира
shop_data_ep5cardback_recolor_desc;<sprite="PopupIcons" name="CardBack"> Динамическая рубашка «Зловещее Древо»\n\nЕго глаза смотрят на тебя. Ты покоришься тьме — или примешь ее?
shop_data_ep5cardback_recolor_title;Динамическая рубашка «Зловещее Древо»
shop_data_ep6_15_keg_gaea_title;28 обрывков, 15 бочек дополнения «Путь ведьмака»
shop_data_ep6_15_keg_title;15 бочек дополнения «Путь ведьмака»
